,일자,시가,저가,고가,종가,거래량
0,2013-01-02,228933,225456,230919,225953,155593
1,2013-01-03,227443,217511,230422,219497,358689
2,2013-01-04,219994,219001,224960,224960,236307
3,2013-01-07,227939,227443,238865,238368,407678
4,2013-01-08,238368,234395,239858,235388,199924
5,2013-01-09,237375,230919,238368,231912,148921
6,2013-01-10,230422,223967,232409,227443,236880
7,2013-01-11,230422,223967,230919,226946,171260
8,2013-01-14,225953,223470,236878,235388,242988
9,2013-01-15,231912,227939,235388,232905,242323
10,2013-01-16,235388,229429,238368,230422,185753
11,2013-01-17,230919,228933,234395,232905,132807
12,2013-01-18,234395,230422,235388,235388,200428
13,2013-01-21,237375,234395,242341,241348,365171
14,2013-01-22,242341,239361,246314,244824,358374
15,2013-01-23,244824,242837,248300,245817,199678
16,2013-01-24,246810,243334,247307,245320,135110
17,2013-01-25,245320,238368,246810,246810,174093
18,2013-01-28,247803,244327,249293,247307,137629
19,2013-01-29,247803,238368,247803,240851,241326
20,2013-01-30,241348,239361,244824,242837,196417
21,2013-01-31,241348,237375,244824,239361,220659
22,2013-02-01,240354,240354,245320,244327,210603
23,2013-02-04,247803,239858,247803,241348,112823
24,2013-02-05,233899,227939,237375,229926,400888
25,2013-02-06,227939,219001,229429,224960,451240
26,2013-02-07,227443,221484,238368,231912,666037
27,2013-02-08,233402,233402,239361,234395,368069
28,2013-02-12,236382,230422,238865,233402,191415
29,2013-02-13,235885,234395,242341,241844,177442
30,2013-02-14,243334,239858,246810,241348,184740
31,2013-02-15,245320,241348,245320,244824,116996
32,2013-02-18,246314,242837,247307,243831,97579
33,2013-02-19,245320,242341,247307,246314,140660
34,2013-02-20,248300,248300,260715,259722,428708
35,2013-02-21,259722,256246,261708,259722,196680
36,2013-02-22,261212,259225,265184,261708,275362
37,2013-02-25,261708,258232,262701,260715,130955
38,2013-02-26,258729,258729,264191,262701,189596
39,2013-02-27,265184,259225,265681,262205,89593
40,2013-02-28,263695,257239,265184,261212,181375
41,2013-03-04,266674,266674,274123,273130,342669
42,2013-03-05,278096,272633,280579,272633,199331
43,2013-03-06,272137,268164,274123,268164,147672
44,2013-03-07,264688,261708,270150,266178,240607
45,2013-03-08,270647,267667,275116,272137,149605
46,2013-03-11,271144,258232,273627,262205,384568
47,2013-03-12,265184,257239,267171,259722,317081
48,2013-03-13,259722,255749,262701,262701,216157
49,2013-03-14,263198,259225,264191,261212,150500
50,2013-03-15,263695,261708,266178,261708,150671
51,2013-03-18,262701,259225,267667,262205,127147
52,2013-03-19,265184,264688,273130,271144,182534
53,2013-03-20,271640,265184,273130,267171,154053
54,2013-03-21,271640,267171,273130,269157,131341
55,2013-03-22,271640,268164,273627,273130,151815
56,2013-03-25,273130,267667,273130,268661,121703
57,2013-03-26,269654,264191,270150,264688,155247
58,2013-03-27,264688,261212,269157,268164,162944
59,2013-03-28,270150,266178,270150,266178,119243
60,2013-03-29,270150,268164,278096,275116,238811
61,2013-04-01,278096,276606,293491,292001,317442
62,2013-04-02,294980,285048,295477,285545,200592
63,2013-04-03,287531,278593,289021,285545,251211
64,2013-04-04,285545,280579,288525,284552,186296
65,2013-04-05,283559,281076,295974,284055,278426
66,2013-04-08,287035,272137,287035,275613,249895
67,2013-04-09,271640,262701,277103,275116,262719
68,2013-04-10,275613,268661,278096,270150,165919
69,2013-04-11,272137,268661,280082,278096,147668
70,2013-04-12,282069,281076,292497,290014,259436
71,2013-04-15,288525,285545,293491,285545,144054
72,2013-04-16,287035,284552,303423,302429,316834
73,2013-04-17,302429,292001,304912,293987,216754
74,2013-04-18,292994,287531,299450,288028,230092
75,2013-04-19,286538,286042,293987,289021,218691
76,2013-04-22,286042,284552,290014,287035,316072
77,2013-04-23,290014,282069,291504,289021,305368
78,2013-04-24,293987,286538,293987,287035,284123
